UNIT_PERNO,COLUMN,OLD_VALUE,NEW_VALUE
877467,PAY_LOC,235000,235001
877566,PAY_LOC,527011,404000
870403,PAY_LOC,507004,507324
694473,GRADE,S8,S9
772047,GRADE,S5,S6
711376,GRADE,S10,S11
774457,GRADE,E0,E1
872441,GRADE,T0,S3
872467,GRADE,T0,S3
872475,GRADE,T0,S1
872483,GRADE,T0,S1
694473,DESIG,SUPERVISOR(OPERATION),SUPERVISOR-CO(OPRN)
771198,DESIG,SR TECH/OPTV,SR TECHNICIAN CUM OPERATI
774837,DESIG,SR TECH/OPTV,SR TECHNICIAN CUM OPERATI
789307,DESIG,JR COMPUTER ASSISTANT(MUL,JR COMPUTER ASSTT
725757,DESIG,SUPERVISOR(O),SUPERVISOR(OPERATION)
791964,DESIG,SR OPTR/TECH,SR TECHNICIAN CUM OPERATO
755605,DESIG,SUPERVISOR(O),SUPERVISOR(OPERATION)
774374,DESIG,SR OPTR/OPTV,SR OPERATOR CUM OPERATIVE
760901,DESIG,NURSING SISTER(SUP),NURSING SISTER SUPERVISOR
711342,DESIG,SR TECHNICIAN CUM OPERATI,SUPERVISOR/ELEC
711376,DESIG,SUPERVISOR(OPERATION),SUPERVISOR(O)
765000,DESIG,SUPERVISOR(O),SUPERVISOR(OPERATION)
812439,DESIG,SR TECH/OPTV,SR TECHNICIAN CUM OPERATI
811184,DESIG,SR TECH/OPTV,SR TECHNICIAN CUM OPERATI
811332,DESIG,SR TECH/OPTV,SR TECHNICIAN CUM OPERATI
812744,DESIG,SR OPTR/OPTV,SR OPERATOR CUM OPERATIVE
811449,DESIG,SR TECH/OPTV,SR TECHNICIAN CUM OPERATI
813099,DESIG,SR TECH/OPTV,SR TECHNICIAN CUM OPERATI
873910,DESIG,OPERATOR CUM TECHNICIAN T,OPTR CUM TECH TRAINEE
813263,DESIG,SR TECH/OPTV,SR TECHNICIAN CUM OPERATI
872441,DESIG,OPERATOR CUM TECHNICIAN T,OPTR CUM TECH TRAINEE
872467,DESIG,OPERATOR CUM TECHNICIAN T,OPTR CUM TECH TRAINEE
872475,DESIG,ATTENDANT CUM TECHNICIAN,ATTENDANT CUM TECH TRAINE
